,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
44,"I Think I Kinda, You Know - Duet","I Think I Kinda, You Know (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-08,172253,61,0.47,0.781,0.463,0.0,0.0961,-7.662,0.0861,0.506,129.131,4
45,Lot to Learn,TMRW,Luke Christopher,2015-09-11,248337,64,0.0948,0.405,0.846,0.0,0.0666,-3.57,0.195,0.602,82.232,4
46,Bleeding Out,Night Visions (Deluxe),Imagine Dragons,2012-09-04,221053,49,0.0195,0.299,0.754,1.3e-06,0.103,-4.078,0.0732,0.295,169.373,4
47,Truthfully,DNCE,DNCE,2016-11-18,182653,65,0.32,0.723,0.643,0.0,0.332,-6.861,0.0351,0.548,102.015,4
48,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,89,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,0.12,115.284,4
49,Circles,Circles,Post Malone,2019-08-30,214906,1,0.233,0.704,0.758,0.00144,0.0924,-3.537,0.0402,0.534,120.003,4
50,hot girl bummer,hot girl bummer,blackbear,2019-08-23,185093,8,0.128,0.778,0.559,0.0,0.399,-7.109,0.0776,0.678,129.989,1
51,Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,174000,73,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,0.557,95.39,4
52,Family,World War Joy,The Chainsmokers,2019-12-06,194826,67,0.426,0.584,0.607,0.0,0.101,-6.605,0.0356,0.374,117.817,4
53,"Born to Be Brave - From ""High School Musical: The Musical: The Series""","Born to Be Brave (From ""High School Musical: The Musical: The Series"")",Cast of High School Musical: The Musical: The Series,2019-12-04,189870,50,0.026,0.705,0.734,0.0,0.158,-4.526,0.0553,0.454,117.962,4
54,"Truth, Justice and Songs in Our Key","Truth, Justice and Songs in Our Key (From ""High School Musical: The Musical: The Series"")",Cast of High School Musical: The Musical: The Series,2019-12-11,137061,38,0.176,0.612,0.761,0.0,0.0843,-4.049,0.0679,0.749,134.916,4
55,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,76,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,0.129,77.599,3
56,Start of Something New - Nini Version,"I Think I Kinda, You Know (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-08,101176,53,0.801,0.453,0.246,0.0,0.106,-7.498,0.0365,0.324,75.174,5
57,"Out of the Old - From ""High School Musical: The Musical: The Series""","Out of the Old (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-12-18,168688,51,0.56,0.624,0.621,0.0,0.133,-6.756,0.119,0.5,113.011,4
58,When There Was Me and You,"Truth, Justice and Songs in Our Key (From ""High School Musical: The Musical: The Series"")",Cast of High School Musical: The Musical: The Series,2019-12-11,98337,44,0.727,0.651,0.274,0.0,0.131,-7.594,0.129,0.71,69.618,3
59,"Just for a Moment - From ""High School Musical: The Musical: The Series""","Just for a Moment (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2020-01-01,197320,64,0.215,0.519,0.503,0.0,0.148,-6.239,0.0442,0.364,89.174,4
